[seed 4] host=hex-p3-c5 started=Mon  1 Jun 11:26:50 BST 2026
[seed 4] python=/mnt/nfs/homes/vealg/LIF-neuron-model/.venv/bin/python  numpy=2.4.4
[seed 4] training -> results_mem_current/run_N2000_seed4.npz
[calib] background I_ext mean=4.453  steady rate=16.7Hz (target 10-20Hz, settled tail of 5000 steps)
[init] N=2000 n_exc=1600 readout=600 delay=2 chunk=4 adapt_b=4.0
[rstep   200/8000] recall MSE=0.4531 rate= 43.9Hz  (288s)
[rstep   400/8000] recall MSE=0.4087 rate=  6.1Hz  (577s)
[rstep   600/8000] recall MSE=0.3437 rate= 62.7Hz  (852s)
[rstep   800/8000] recall MSE=0.3350 rate=  0.0Hz  (1129s)
[rstep  1000/8000] recall MSE=0.3288 rate= 26.0Hz  (1406s)
[rstep  1200/8000] recall MSE=0.3336 rate= 39.2Hz  (1686s)
[rstep  1400/8000] recall MSE=0.3237 rate=  1.5Hz  (1961s)
[rstep  1600/8000] recall MSE=0.3586 rate= 11.6Hz  (2237s)
[rstep  1800/8000] recall MSE=0.3991 rate= 33.4Hz  (2514s)
[rstep  2000/8000] recall MSE=0.2855 rate= 18.2Hz  (2793s)
[rstep  2200/8000] recall MSE=0.3272 rate= 18.2Hz  (3066s)
[rstep  2400/8000] recall MSE=0.2923 rate= 33.3Hz  (3335s)
[rstep  2600/8000] recall MSE=0.3084 rate= 17.8Hz  (3608s)
[rstep  2800/8000] recall MSE=0.2994 rate=  6.2Hz  (3882s)
[rstep  3000/8000] recall MSE=0.3509 rate= 33.0Hz  (4157s)
[rstep  3200/8000] recall MSE=0.3432 rate= 19.1Hz  (4432s)
[rstep  3400/8000] recall MSE=0.2992 rate=  3.1Hz  (4704s)
[rstep  3600/8000] recall MSE=0.4157 rate= 63.6Hz  (4980s)
[rstep  3800/8000] recall MSE=0.4063 rate= 51.8Hz  (5258s)
[rstep  4000/8000] recall MSE=0.3739 rate= 52.5Hz  (5539s)
[rstep  4200/8000] recall MSE=0.3466 rate=  6.7Hz  (5816s)
[rstep  4400/8000] recall MSE=0.3449 rate= 52.8Hz  (6090s)
[rstep  4600/8000] recall MSE=0.3370 rate= 20.2Hz  (6365s)
[rstep  4800/8000] recall MSE=0.3558 rate=  2.8Hz  (6635s)
[rstep  5000/8000] recall MSE=0.4231 rate=  1.7Hz  (6898s)
[rstep  5200/8000] recall MSE=0.3205 rate= 17.9Hz  (7148s)
[rstep  5400/8000] recall MSE=0.3041 rate= 49.3Hz  (7381s)
[rstep  5600/8000] recall MSE=0.4267 rate= 40.3Hz  (7596s)
[rstep  5800/8000] recall MSE=0.3714 rate=  0.8Hz  (7801s)
[rstep  6000/8000] recall MSE=0.3139 rate= 51.1Hz  (7996s)
[rstep  6200/8000] recall MSE=0.3169 rate=  3.6Hz  (8192s)
[rstep  6400/8000] recall MSE=0.3615 rate= 60.5Hz  (8381s)
[rstep  6600/8000] recall MSE=0.3645 rate= 51.2Hz  (8571s)
[rstep  6800/8000] recall MSE=0.4135 rate= 18.5Hz  (8763s)
[rstep  7000/8000] recall MSE=0.2894 rate= 10.9Hz  (8956s)
[rstep  7200/8000] recall MSE=0.3069 rate= 22.3Hz  (9152s)
[rstep  7400/8000] recall MSE=0.3931 rate= 64.4Hz  (9351s)
[rstep  7600/8000] recall MSE=0.3035 rate= 38.0Hz  (9553s)
[rstep  7800/8000] recall MSE=0.3748 rate=  1.4Hz  (9745s)
[rstep  8000/8000] recall MSE=1.3465 rate=  8.0Hz  (9952s)
[done] final recall MSE=1.3465 (chance for U(-1,1) = 0.3333)  total 9952s
[saved] results_mem_current/run_N2000_seed4.npz
[seed 4] training done=Mon  1 Jun 14:12:42 BST 2026
[seed 4] NOTE: benchmark skipped - port reservoir_capacity.py to current-based synapses before scoring results_mem_current/run_N2000_seed4.npz
