hold,tau_syn,adapt_b,tau_w,adapt_b2,tau_w2,n_input,input_scale,inh_scale,mc1,total_mc,horizon_ms,reach_ms,sep,ratio,regime
150,5.0,4.0,400.0,0.0,800.0,100,8.0,1.0,0.09108662155901912,0.5104556902569968,0.0,0.0,0.5719861852118894,0.5579721723201376,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,0.0,1500.0,100,8.0,1.0,0.09108662155901912,0.5104556902569968,0.0,0.0,0.5719861852118894,0.5579721723201376,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,0.0,3000.0,100,8.0,1.0,0.09108662155901912,0.5104556902569968,0.0,0.0,0.5719861852118894,0.5579721723201376,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,1.0,800.0,100,8.0,1.0,0.17002891409435436,0.5229633494765774,15.0,15.0,0.4836150786189697,0.5072796217705048,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,1.0,1500.0,100,8.0,1.0,0.133672185916861,0.39612991503018236,15.0,15.0,0.5596036781118797,0.5428687375041771,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,1.0,3000.0,100,8.0,1.0,0.07206441809989456,0.39177208477146486,0.0,0.0,0.49056883225091835,0.4688340149191632,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,2.0,800.0,100,8.0,1.0,0.14854667498408217,0.59533030948149,15.0,45.0,0.5483141608486491,0.5024728857318664,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,2.0,1500.0,100,8.0,1.0,0.05834496094151713,0.31625412309630824,0.0,0.0,0.6060794750570647,0.5453200359284586,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,2.0,3000.0,100,8.0,1.0,0.06935469348555473,0.39530947950697903,0.0,0.0,0.6072140211082178,0.7132140104920562,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,3.0,800.0,100,8.0,1.0,0.0831605940940817,0.4661253462881154,0.0,30.0,0.6576033461840336,0.569276199176974,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,3.0,1500.0,100,8.0,1.0,0.1474072029961887,0.3653597374108229,15.0,15.0,0.5797058454097913,0.6454947856176909,CRITICAL-ish (perturbation persists)
150,5.0,4.0,400.0,3.0,3000.0,100,8.0,1.0,0.07284191590788931,0.5189352334654294,0.0,0.0,0.60715994471655,0.4256876973765692,CRITICAL-ish (perturbation persists)
